#Front	Back
#краткий русско-татарский фразеологический словарик
давать (дать) голову на отсечение	башын кисәргә бирү
давать (дать) маху	махы биру
давать (дать) себя знать	үзен сиздерү
давать (дать) слово	сүз бирү
давно бы так!	күптән шулай кирәк иде!
далеко не уедешь	ерак китә алмассың
далеко пойти	ерак китү
дать березовой каши	тал чыбыгы ашату
дать прикурить	җиде бабасын таныту
два сапога пара	ике сыңар бер кием;
чиләгенә күрә	капкачы
двуликий янус	ике яклы пәке
действовать на нервы	нервыга тию
дела нет	эше юк
делать (сделать) большие глаза	күзләрен түгәрәкләндерү
делать (сделать) из мухи слона	чебеннән фил ясау
делать (сделать) предложение	тәкъдим ясау
делать нечего берни	зшләр хәл юк
делать хорошую мину при плохой игре	авызың тулы кара кан булса да, кеше алдында төкермә
делить шкуру неубитого медведя алмаган бия, тумаган колын	утырма, улым, билен сындырырсың; тумаган балага бишек ко ру; тумаган тайга атлану
дело в шляпе	эш бетте, көлтә җыясы гына калды
денег куры не клюют	акча бездә бер букча; мәчеләре дә куян тота; әтәҹе дә күкәй сала
день и ночь (днем и ночью)	көне-төне
день открытых дверей	ачык ишекләр көне
держать в руках	кулда тоту
держать камень за пазухой	куенында таш йөртү
держать себя	(үз-)үзен тоту
держать себя в руках	уз-үзен кулга алу
держать (сдержать) слово	сүзендә тору
держать ухо востро	сак булу
держать язык за зубами	телне тыю; теленә хуҗа булу
держи карман шире	тот капчыгыңны
диву даваться	гаҗәпкә калу
днем с огнем	көндез чыра (ут) яндырып (эзләү)
до мозга костей	башыннан аягына кадәр
до последнего дыхания	соңгы сулышына кадәр
до последней капли крови	соңгы тамчы канына кадәр
добиваться (добиться) своего	үз дигәнен эшләү; үз сүзен үткәрү
добро пожаловать!	рэхим ит(егез)!
доброе утро!	хәерле иртә!
добрый вечер!	хэерле кич!
добрый день!	хәерле көн!
доводить (довести) до белого каления	чыгырдан чыгару
другое дело	башка эш
душа болит	җан эрни
душа в пятки ушла	кот чыкты; кот очты
душа не лежит	куңел тартмый
дыма без огня не бываеғт	ат аунаган жирдә төк кала; утсыз төтен булмый
ему цены нет	баш бәясе
жевать мочалку	авыз эчендә ботка пешерү; чүбек чәйнәү
жить душа в душу	ал да гөл (тораяар)
за словом в карман не лезет	суз эзләп, күршегә керми
заблу диться в трех соснах	ике агач арасында адашу
задеть за живое	күңеленә тию
задирать (задрать) нос	борын күтәрү
задним умом крепок	акылы төштән соң
закидывать (закинуть) крючок	кармак салып карау
закрывать (закрыть) глаза	күз йому
замолвить словечко	сүз салу
зарубить на носу	колакка киртләп кую
засорять глаза	күзгэ төтен җибәрү
засучив рукава	җиң сызганып
затаив дыхание	тын да алмыйча
зеленая улица	яшел урам
злые языки	усал телләр
змея подколодная	юха елан
знать свое место	үз урынын белү
знать себе цену	үз бәясен белү
знать язык	башы тишек; түбәсе салам белән капланган ь
золотая середина	алтын урталык
золотое дно	әндри казнасы
золотые руки	кулы алтын; кылны кырыкка яра
зондировать почву	кылын тартып карау
и бровью не ведет	колагына да элми
и был таков	юк булды
и в грош не ставить	санга сукмау; чүпкә дә санамау
и в помине нет	исе дә юк
и в ус не дует	төкереп тә бирми; исендә дә юк
и след простыл	эзе дә калмады (юк)
игра не стоит свеч	биш тиенлек куян, ун тиенлек зыян
играть (поиграть) на нервах	нервыда уйнау
играть (сыграть) роль	роль уйнау
играть в прятки	качышлы уйнау
играть на руку	тегермәненә су кою
идти (пойти) на лад	җайга салыну
идти (пойти) своей дорогой	үз юлы белән бару
идти в ногу	бер аяктаи атлап бару
идти по стопам	эзеннән бару
из года в год	елдан-ел
из мухи делать слона	инә күзеннән дөя күрү; тузанны тубалдай итү; төймәдэн дөя ясау; түмгэкне тау итү
из первых рук беренче	чыганак(лар)тан (кулдан)
из рук в руки	кулдан кулга
из уст в уста	телдән телгә
изо всей силы (всех сил)	бар көченә
изо дня в день	көн саен
иметь дело	эш итү
иметь значение	әһәмияткә ия (булу)
испокон веков	борын-борыннан
и ухом не ведет	исе дә китми
к слову сказать	сүз уңаенда
как (будто) ни в чем не бывало	исе дә китмичә
как (будто) рыба в воде	судагы балык кебек
как (будто) сквозь землю провалился	җир астына төшеп киткәндәй булды
как без рук	ике кулсыз (калу)
как будто (словно) на пожар	ут чыкканмыни
как будто (точно, словно) в воду канул	суга төшкән кебек булды
как будто (точно, словно) воды в рот набрал	авызына су капкандай
как в воду опущенный	балтасы суга төшкәндәй
как ветром сдуло	ай күрде, кояш алды
кақ грибы после дождя	су сибеп үстергәндәй
как две капли воды	кискән дә каплаган; ике тамчы су кебек
как зеницу ока	күз карасыдай
как из ведра	чиләкләп кою
как на иголках	кыл өстендә улыру
как на ладони	уч төбендәге көбек (күренү)
как небо от земли	җир белән күк кебек
как пить дать	гаш яуса да
как по маслу	майлаган кебек
как правило	кагыйдә буларак
как рукой сняло	юып аягандай булды
как селедки в бочке	баш тыккысыз
как у себя дома	үз өеңдәге (өегездәге, өендәге) кебек
какими судьбами?	нинди җилләр ташлады?
каков музик, таков танец	соравына күрэ җавабы; җиренә күрә җикәне
каков поп, таков и приход	көтүче нинди, көтүе шундый
камня на камне не оставлять (оставить)	таш өстендә таш кал(дыр)мау; нигезенә хәтле җимереп ташлау
капля в море	диңездән бер тамчы
кататься как сыр в масле	баз-май эчендэ өзү
кататься со смеху	бот чабып көяү; эч катып көлү
каша в голове	башында бажа
каши не сваришь	борчак пешми
кожа да кости	авызын ачса, үпкәсе күренә
конца-краю не видно	очы-кырые юк (күренми)
короче говоря	кыскача эйткәндә
кот наплаҝкал	күзгә кырып салырлык; инә очы хәтпе; ата мәче күз яше
кошку быют, невестке наветки	дают -- кызым, сиңа әйтәм, киленем, син тыңла
краем (краешком) глаза	күз кырые беән
красная строка	кызыл юл
кровь с молоком	бер кашык су белән йотарлык; суырып йотарлык: урта бармак шикелле
кроме того	аннан кала (тыш); моннан кёа (тыш)
кто (его) знает	кем белә
кто в лес, кто по дрова	берсе калага, берсе салага
кто во что горазд	кем ничек булдыра ала
курить фимиам	күккә чөеп мактау
куча мала	чүп өстенә чүмәлә
легко сказать	эйтергә (генә) жиңел
лезть в голову	башка керү
лица нет	йөзе качкан
лицом к лицу	йөзгә-йөз
ловить на лету	тиз эләктереп алу
лодыря гонять	тырай тибеп йөрү
ломать голову	баш вату
мазать по губам	авызны майлау
мастер на все руки	кулга оста; алтын куллы; кылны кырыкка яра
махнуть рукой	кул селтәү
медведь на ухо наступил	колагына аю баскан
медвежья услуга	аю хезмэте (күрсөгү)
медный лоб	кибәк баш
между двух огней	ике ут арасында (калу)
между делом	эш арасында
между ними кошка пробежала	арага шайтан керү
мелко плавать	сай йөзү
мерить на свой аршин	үз аршынына (аршины белән) үлчәү
много воды утекло	күп сулар акы
может быть	бәлки
можно сказать	эйтергә мөмкин
молоко на губах не обсохло	борын асты кипмәгән; ирененнән сөт кипмәгән; сөт тешләре дә төшеп бетмәгән
молоть чепуху	тузга язмаганны сөйтәү
молчит, как воды в рот набрал	авызын чөйгә элгән; авызына су капкандай
море по колено	диңгез тубыктан
мотать (намотать) себе на ус	колакка киртләп кую; мыегына чорнап кую
мурашки бегают (забегали, поползли. побеж али, пошли)	тәне чымырдау
мухи не обидит	чебенгә дә тими
на вес золота	алтын бәясе
на всякий случай	алай-болай була калса
на каждом шагу	адым саен
на край света	җир читенә
на краю пропасти	кыл өстендә тору
на краю света	җир читендә
на лоне природы	табигать кочагында
на ночь глядя	төнгә каршы
на открытом воздухе	саф һавада
на первый взгляд	беренче карашка
на первых порах	баштарак
на произвол судьбы	язмыш иркенә (ташлау)
на разных языках	төрле телләрдә
на роду написано	маңгаена язылган
на самом деле	чынлыкта; чыннан да
на свежем воздухе	саф һавада
на свежую голову	сәламәт баштан
на своем веку	үз гомерендә
на седьмом небе	күкнең җиденче катында
на скорую руку	тиз генә
нпа чем свет стоит	гуз сай жеп тормыйча
набираться (набраться) ума	акыл җыю (туплау)
навострить уши	колак торгызу
надуть губы	иреи турсайту
называть вещи своими именами	уз нсеме белән атау
найти общий язык	уртак тел табу
наступать на пятки	итәккә басу; табанга басу
начинать с азов	элифтэн башлау
не верить своим глазам	үз күзләренә (үзе) ышанмау
не верить своим ушам	уз колагына (үзе) ышанмау
не в своей тарелке	кәефе юк
не выходит из головы	баштан чыкмый
не лезет (не полезет) за словом в карман	сүз эзләп, кесәгә керми
не находить (не найти) себе места	үз-үзен кая куярга белмаү
не находить (не найти) слов	суз таба алмау
не оставаться (не остаться) в долгу	бурычлы булып калмау
не оставить камня на камне	пыранзаран китерү; тетмәсен тетү
не отрывать (не оторвать) глаз	күзен алмау
пе разгибая спины	баш күгәрми (зшләү)
не сводить глаз	күзен алмау
не смыкать (не сомкнуть) глаз	күзен йоммау
не тут-то было	тот капчыгыңны
не ударить лицом в грязь	йөзгә кызыллык китермәү; оятка калмау
не умеет язык держать за зубами	авызына тел сыймау
не успеть (и) глазом моргнуть	күз ачып йомганчы
несмотря ни на что	бернигә (бернәрсәгә) карамастан
нести ахинею	экият сату
нечего сказать	(эйтергә) сүз таба алмау
ни бельмеса не знает	әлифне таяк дип тә белми
ни больше ни меныше	ким дә түгел, артык та түгел
ни жив ни мертв	ни үле, ни тере
ни за что на свете	үлсә дә
ни зги не видно	кузгә төртсәң күренмәслек
ни кола ни двора	каккан казыгы да юк
ни много ни мало	куп тә түгел, аз да түгел
ни рыба ни мясо	ит тә юк, йон да юк; ни он, ни йон; ни он түгел, ни камыр түгел
ни свет ни заря	таң тишегеннән
ни уму ни сердцу	ни аллага, ни муллага
ничего не поделаешь	берни эшләр хәл юк
ничего не стоит	берни тугел
ноль внимания	исе дә китми
нос не дорос	сөт тешләре дә төшеп җитмәгән
посить на руках күтэреп	кенә йөртү; уч төбендә генә йөртү; өрмәгән җиргә дә утыртмау; җил-яңгыр тидермәү
нужен как собаке пятая нога	кирәкле кишер яфрагы
обвести вокруг пальца	кыл чабата кидерү
обирать (обдирать) как липу	шыр ялангач калдыру; кара җәяүгә калдыру
овчинка выделки не стоит	биш тиенлек куян, ун тиенлек зыян
один на один	күзгә-күз
одна нога там, другая здесь	бер аягы монда, икенчесе тегендә
одним (единым) духом	күз ачып йомганчы; бер минутта; бер секундта
одним словом	бер сүз белән әйткәндә
одно время	бер арада
одного поля ягоды	бер чыбыктан сөрелгән; бер калыптан сугылган; бер басуда үскән тигәнәк
одну минуту	бер минут
одну секунду	бер секунд
око за око, зуб за зуб	ашка аш, ташка таш
опускать (опустить) руки	куңел төшү
остричь под одну скобку	бер калыпка салу
от всего сердца	чын йөрәктән
от всей души	ихлас күңелдән
от зари до зари	таңны таңга ялгап
от корки до корки	башыннан ахырына кадәр
от мала до велика	олысыннан алып кечесенә кадәр
от нечего делать	эш юктан
отвечать головой	баш белән җавап бирү
откладывать в долгий ящик	озакка сузу
открывать (открыть) всю (свою)	душу йөрәген ачу
отерыважр (открыть) глаза	күзен аҹ тыр
открыть америку	америка ачу
очень нужно!	бик кирәк иде! бик кирәге бар иде!
падать духом.	күңел төшү; борын салындыру кыймылдатмау; бармак кыймылдатмау; бар макка бармак какмау
пальцем не трогать	бармак бедән дә тимаү
пальцем не шевельнуть	бармак та кыймылдатмау
пальчики оближешь!	телеңне йотарсың!
первым делом	беренче чиратта
первым долгом	иң беренче чиратта; беренче итеп
перевернуть вверх дном	астын оскә китерү
перейти рубикон	сирае күперен кичү
переливать из пустого в порожнее	бушны бушка бушату; корыны бушка #ұдару
песенка спета	ашын ашаган, яшен яшәгән; аның ясины укылган инде; туе узган, туны тузган
плетью обуха не перешибешь	чебен, дулап, тәрәзә вата алмас
плечом к плечу	иңне иңгә кую
плешь проесть	колак итен чәйнәү
плыть по течению	агым уңаена йөзү
плясать под чужую дудку	кеше кубызына бию
по пальцам можно пересчитать	бармак белән санарлык
по правде говоря	дөресен әйткәндә
по совести говоря	дөресен әйткәндә
повернуться некогда	баш кашырга да вакыт юк
повышать (повысить) голос	тавышын күтәрү
подливать (подлить) масло в огонь	утка керосин сибү
подложить сбинью	этлек эшләү
поднимать (поднять) на смех	нәлкегэ қалдыру
поймать на удочку	кармагшиа элэкгеру
пока солнце взойдет, роса очи выест	кояш чыкканчы, күзең кұгәрер
покажу, где раки зимуют!	арт сабагыңны укытырмын!
покатываться (кататься) со смеху	тәгәрәп көлү
ползти на брюхе	тез чүгү
поминай как звали	суга төшкәндәй булды; юкка чыкты
попадать (попасть) в (самую) точку	нәкъ үзәгенә басу
попасть пальцем в небо	дуга белән печән чабу
попасть впросак	авыр хэлгэ калу
поправляться из кулька в рогожу	каш төзәтәм дип, күз чыгару
попытка не пытка	ятып калганчы атып кал
посадить в галошу	агач атка атландыру
после дождичка в четверг	кызыл кар яугач
посмотреть (смотреть) другими глазами	икенче күз белән карау
поспешишь - людей насмешишь	ашыккан ашка пешкән
поставить (ставить) на ноги	аякка бастыру
потерять (терять) голову	башын югалту
правая рука	уң кулы
правду говоря	дөресен эйткәндә
превратить в пух и прах	астын өскә әйләндерү; дөньясы кырылып бетсен; көлен күккә очыру; пыран-заран китерү
превращаться (превратиться) в слух	колагын торгызу
прежде всего	барыннан да элек (бигрәк)
при царе горохе	хан заманында: эби патша заманында
прийти в себя	аңга килу
принимать (принять) близко к сердцу	йөрәгенә якын алу
принимать (принять) на свой счет	үз ягына алу
пристать как банный лист	сагыз булу; тигәнәк кебек ябышу
притча во языцех	телдэн төшмәү
приходить (прийти) в голову	башка килү
приходить (прийти) в себя	аңына (һушына) килү
приходить (прийти) в ум	башка килу
приятного аппетита!	ашларыгыз (чәйләрегез) тәмле булсын!
пробирать с песком	утлы табага бастыру
проглотить пилюлю	тешне кысып түзү; телне тешләп түзү
прожужжать уши	колак итен ашау (кимерү)
производить (произвести) впечатление	тәэсир калдыру
пройти огонь и воду, и медные трубы	утлар-сулар кичү
пропускать (пропустить) мимо ушей	колак артыннан җибәрү
просто так	болай гына
простым глазом	гади күз бевән
протягивать лапу	кул сузу
проходить (пройти) красной нитью	кызыл җеп булып сузылу
прошу прощения	гафу үтенү
прятаться (спрятаться) в кусты	куак артына качу
птичьего молока только нет	кугэрчен сөте генә юк
пуд соли съесть	бер пот тоз ашау
пуп земли	алланың кашка тәкәсе; дөнья тоткасы; тугыз үлеп бер калган
пускать (пустить) пыль в глаза	күзгэ төтен җибәрү
пусть земля будет пухом	авыр туфрагы җиңел булсын
пятое колесо в телеге	арбаның бишенче тәгәрмәче
раз-два (да) и обчелся	диңгездән бер тамчы; ата мәче күз яше; бармак белән санарлык
раз и навсегда	эйттем - бетте
разбирать по косточкам	энэ күзеннән үткәрү
развесить уши	авыз ачып тыңлау
разделать под орех	тетмәсен тетү; күрмәгәнен күрсәтү
разинуть рот	авыз ачып йөрү
рано или поздно	иртәме-соңмы
рвать и метать	буран туздыру; ут чәчү
родиться в сорочке	бэхет йөзлеге белән туу
родиться под счастливой звездой	бәхет йөзлеге белән туу
рот до ушей	түбәсе күккә тию
рука об руку	кулга-кул тотынып (тотынышып)
руки не доходят	кул җитми
рукой подать	кул сузымында гына
с (от) говы до ног (до пят)	башыннан аягына кадәр
с (твоей) легкой руки	аягың җиңел булсын
с больной головы на здоровую	ак эт бәласе кара эткә
с глазу на глаз	күзгә-күз
с гульжкин нос	диңгездән бер тамчы; ата мәче күз яше
с добрым утром!	хәерле иртә!
с каких пор	кайчаннан бирле
с миру по нитке - голому рубашка	ил төкерсә - күл булыр
с одной стороны ... с другой стороны	бер яктан... икенче яктан
с открытой душой	ихлас күңелдән
с первого взгляда	беренче күрүдән үк
с первого слова	беренче сүзеннән үк
с пустыми руками	буш кул белән
с пятого на десятое	тартнпсез рэвештә
с распростертыми объятиями	колачын җеп
с тех пор	аннан бнрле
с течением времени	алга таба
с три короба	йөге белән
с тяжелым сердцем	авыр хисләр белән
садиться в калошу	төпсез көймәгә утыру; төп башына утыру
сбиться с ног	аяктан калу
свалять дурака	акыл җитмәү
свет клином не сошелся	аңар карап кояш тотылмас
своими собственными глазами	уз күз(ләр}ем белә:
своими (собственными) руками	үз кул(лар)ым белән
своими словами	уз сузләре белән
своя кука	владыка — кемнең кулында, шуның авызында
своя своих не познает	ата улны, ана кызны бетми
сгорать (сгореть) от (со) стыда	ояттан үлә язу
седьмая вода на киселе	куян шулпасының шулпасы
семи (семь) пядей во лбу	акыл иясе
сердце болит	җан сыкрый
сердце кровью обливается	иөрәккә кан сава
сесть в лужу	авыр хәлгә калу
сжечь мосты	күперләрне яндыру
сидеть у разбитого корыта	төпсез чуенга утырып калу
сизифов труд	төпсез кисмәккә су ташу
сказать свое слово	үз сүзен эитү
скатартыо дорога	алдыңнан артың хәе
сквозь землю провалиться	җир ???стына керердәй булу
сколько (душе) угодно	җаның теләгәнчә; күпме кирәк (телисең) шулаи
сколько (столько) воды утекло	күпме сулар акты
слабое место	йомшак җире
сложа руки	кул кушырып
смотрет в оба	алдыңа-артыңа карап йөрү; бер алга, биш артка карау; сак к булу
смотреть другими глазами	башка күз белән карау
смотреть правде в глаза	хакыйкатьнең күзенә карау
смотреть сквозь пальцы	бармак аша карау
с дня на день	менә-менә; бүген-иртәгә
собаки лают - ветер носи	тэт өрер, бүре йөрер
собираться (собратъся) с мыслями	???фнкер туплау
собираться (собратъся) с силами	бар көчен туплау
сонная тетеря	йокы капчыгы, йокы чүлмәге
(спать) без задних ног	үлеп йоклау
спокойной ночи!	тыныч йокы
среди бела дня	көн уртасында (үзәгендә)
срывать сердце	ачу алу; ачу кайтару
ставить (поставить) на ноги	аякка стыру
ставить (поставить) на свое место	үз урынына кую
стереть в порошок	көл итү
стереть с лица земли	җир йөзеннән юк итү
стоять (держаться) в стороне	читтә тору
стоять (топтаться) на (одном) месте	бер урында таптанып тору
строить воздушные замки	комнан бау ишү
сулить золотые горы	алтын таулары вәгъдә итү; тау чаклы вәгъдәләр бирү
схватиться за соломинку	саламга тотыну
сходить с ума	акылдан шу
счастливо оставаться!	исэн-сау булыгыз!
счастливого пути!	хэерле юл! исән-имин йөрегез!
так или иначе	ничек кенә булса да
так себе	алып мактарлык түгел, салып таптартык түгел; ярый инде
таким образом	шулай итеп
твоими устами да мед пить	авызыңа бал да май
тем не менее	шуңа да карамастан
темный лес	кара урман
тертый калач	карт чыпчык; таш астыннан чыккан; шомарып беткән; эт каешы
терять (потерять) счет	санап бетергесез
то и дело	әледән-әле
толку как от козла молока	аллага да юк, муллага да юк
толочь воду в ступе	корыны бушка аудару; комнан бау ишү
только и видели	күрми дә калу
только что	эле генә
точить лясы	гайбәт сату; ләчтит сату
тройная проверка	???зпә күзеннән үткәрү
у черта на куличках	җир читендә
убивать (убить) двух зайцев	ике куянны берьюлы ату
ума не приложу	акыл җитми
ума палата	акыл иясе
уму непостижнмо	акыл: җитми
утереть нос	борынга чиртү
уходить (уйти) с головой	башы белән чуму
хвататься (схватиться) за соломинку	саламга тотыну
хвататься за голову	башны ташка бәрердәй булу
хлебнуть лиха	ачысын-төчесен тату
хоть бы что	нсендә дэ юк
хоть глаз выколи	күзгә төртсәң күренмәслек
хоть кол на голове теши	үз туксаны туксан
хоть отбавляй	исӘбе-хисабы юк
хоть пруд пруди	исэбе-хисабы (саны) юк
цены нет	бәяләп бетергесез
чего бы это не стоило	ничек итеп булёз да
черным по белому	акка кара белән
черт ногу сломит	башың белән чумарсын
честное слово	ант итеп әйту
что есть (было) духу	бар (бөтен) көченә
что за вопрос	сорап торасы да юк (түгел)
что поделаешь	нишләмәк кирәк
шаг за шагом	әкрен-әкрен; әкренләп
шутки в сторону	шаярудан узган
әто не фунт изюма	бу бәрәңге ашау түгел
әто цветочки, а ягодки впереди	монысы әле баласы, мичтә аның анасы
яблоко раздора	бэхәс алмасы
яблоку негде (некуда) упасть	баш тыккысыз; инә тыккысыз; энә төртер урын юк
язык проглотить	телен йоту
язык проглотишь	телеңне йотарсың
язык хорошо (неплохо, здорово) подвешен	авызына саескан төкергән; теленә шайтан төкергән; телгә беткән
